Customer_ID,Age,Gender,Region,Brand_Preference,Purchase_Frequency,Average_Spend_INR,Purchase_Channel,Occasion,Mood,Satisfaction_Score
CUST0001,32,Male,South India,Amul Dark,Occasionally,92,Retail Store,Valentine's Day,Excited,4
CUST0002,22,Other,East India,Cadbury Dairy Milk,Weekly,1966,Supermarket,Birthday,Happy,4
CUST0003,35,Male,North India,Ferrero Rocher,Weekly,1424,Local Shop,New Year,Excited,5
CUST0004,53,Male,South India,Cadbury Dairy Milk,Weekly,1407,Online,New Year,Excited,2
CUST0005,46,Other,West India,Nestle KitKat,Occasionally,1895,Retail Store,Birthday,Relaxed,3
CUST0006,58,Other,South India,Nestle KitKat,Monthly,608,Retail Store,Birthday,Excited,2
CUST0007,60,Male,South India,Nestle KitKat,Monthly,319,Supermarket,No Occasion,Relaxed,5
CUST0008,45,Female,North India,Amul Dark,Monthly,1896,Retail Store,Holi,Sad,5
CUST0009,46,Male,South India,Munch,Occasionally,1486,Local Shop,Birthday,Excited,3
CUST0010,51,Female,South India,Nestle KitKat,Occasionally,992,Local Shop,New Year,Bored,5
CUST0011,22,Other,South India,Munch,Occasionally,1648,Retail Store,Valentine's Day,Stressed,5
CUST0012,32,Female,West India,5 Star,Weekly,1092,Supermarket,Diwali,Relaxed,3
CUST0013,13,Other,South India,Ferrero Rocher,Weekly,1420,Retail Store,Birthday,Happy,4
CUST0014,25,Male,East India,Amul Dark,Occasionally,1978,Retail Store,Birthday,Happy,2
CUST0015,13,Male,South India,Cadbury Dairy Milk,Monthly,1686,Supermarket,Diwali,Sad,4
CUST0016,17,Other,North India,5 Star,Weekly,86,Local Shop,Holi,Bored,4
CUST0017,28,Other,South India,Amul Dark,Monthly,1692,Online,Birthday,Stressed,2
CUST0018,27,Other,South India,Munch,Occasionally,141,Retail Store,Birthday,Happy,4
CUST0019,40,Male,West India,Amul Dark,Monthly,1893,Local Shop,Diwali,Stressed,3
CUST0020,43,Male,East India,5 Star,Monthly,234,Retail Store,Raksha Bandhan,Relaxed,2
CUST0021,35,Female,South India,5 Star,Occasionally,777,Online,No Occasion,Stressed,1
CUST0022,60,Other,East India,Nestle KitKat,Monthly,1101,Supermarket,New Year,Happy,4
CUST0023,57,Female,North India,Nestle KitKat,Weekly,1621,Local Shop,No Occasion,Excited,5
CUST0024,55,Male,West India,Nestle KitKat,Occasionally,421,Online,No Occasion,Happy,2
CUST0025,29,Female,East India,Ferrero Rocher,Occasionally,881,Retail Store,Birthday,Relaxed,1
CUST0026,46,Female,West India,Cadbury Dairy Milk,Occasionally,1603,Online,Valentine's Day,Excited,5
CUST0027,25,Male,South India,Toblerone,Monthly,394,Local Shop,No Occasion,Stressed,1
CUST0028,26,Male,North India,Ferrero Rocher,Weekly,1492,Supermarket,No Occasion,Sad,4
CUST0029,23,Other,West India,Munch,Occasionally,1269,Retail Store,New Year,Sad,5
CUST0030,40,Female,South India,5 Star,Weekly,127,Supermarket,Holi,Sad,4
CUST0031,54,Male,East India,Amul Dark,Occasionally,216,Supermarket,Holi,Relaxed,5
CUST0032,44,Male,North India,Munch,Occasionally,1163,Online,Birthday,Stressed,2
CUST0033,47,Female,North India,Ferrero Rocher,Monthly,313,Online,Birthday,Excited,3
CUST0034,43,Male,East India,Toblerone,Occasionally,1545,Local Shop,Holi,Excited,3
CUST0035,29,Other,East India,Nestle KitKat,Occasionally,1281,Local Shop,New Year,Stressed,1
CUST0036,59,Other,North India,Nestle KitKat,Weekly,773,Supermarket,Diwali,Happy,5
CUST0037,21,Female,West India,Nestle KitKat,Monthly,1344,Local Shop,Valentine's Day,Happy,4
CUST0038,22,Other,North India,Ferrero Rocher,Weekly,1336,Supermarket,Diwali,Happy,2
CUST0039,20,Male,East India,Amul Dark,Monthly,1579,Retail Store,Raksha Bandhan,Relaxed,2
CUST0040,33,Male,West India,Ferrero Rocher,Weekly,1858,Supermarket,No Occasion,Happy,2
CUST0041,25,Male,South India,Nestle KitKat,Monthly,561,Local Shop,Diwali,Stressed,3
CUST0042,17,Male,North India,Munch,Occasionally,1927,Local Shop,Raksha Bandhan,Excited,4
CUST0043,18,Female,East India,Amul Dark,Occasionally,1799,Supermarket,Valentine's Day,Stressed,2
CUST0044,42,Other,South India,Nestle KitKat,Monthly,1959,Online,New Year,Excited,2
CUST0045,43,Other,North India,Perk,Monthly,625,Supermarket,Birthday,Excited,1
CUST0046,29,Male,North India,5 Star,Monthly,1597,Supermarket,Raksha Bandhan,Happy,5
CUST0047,23,Female,West India,Munch,Occasionally,771,Online,Raksha Bandhan,Excited,5
CUST0048,32,Male,East India,Ferrero Rocher,Monthly,1385,Retail Store,Raksha Bandhan,Excited,5
CUST0049,60,Male,South India,Cadbury Dairy Milk,Monthly,1247,Online,Birthday,Stressed,1
CUST0050,21,Female,North India,Nestle KitKat,Occasionally,480,Local Shop,Valentine's Day,Happy,3
CUST0051,14,Female,West India,Ferrero Rocher,Monthly,817,Online,No Occasion,Relaxed,1
CUST0052,49,Male,South India,Toblerone,Occasionally,512,Local Shop,Birthday,Bored,2
CUST0053,13,Other,South India,Nestle KitKat,Occasionally,150,Local Shop,Diwali,Sad,4
CUST0054,16,Male,North India,Munch,Occasionally,1089,Supermarket,New Year,Happy,2
CUST0055,48,Other,South India,Ferrero Rocher,Weekly,1782,Supermarket,Valentine's Day,Sad,2
CUST0056,37,Other,North India,Munch,Monthly,1331,Retail Store,New Year,Relaxed,4
CUST0057,15,Female,West India,Cadbury Dairy Milk,Occasionally,1969,Local Shop,Valentine's Day,Relaxed,5
CUST0058,21,Female,West India,Toblerone,Monthly,293,Supermarket,Birthday,Excited,1
