Customer_ID,Age,Gender,Region,Brand_Preference,Purchase_Frequency,Average_Spend_INR,Purchase_Channel,Occasion,Mood,Satisfaction_Score
CUST0001,32,Male,South India,Amul Dark,Occasionally,92.0,Retail Store,Valentine'S Day,Excited,4
CUST0002,22,Other,East India,Cadbury Dairy Milk,Weekly,1966.0,Supermarket,Birthday,Happy,4
CUST0003,35,Male,North India,Ferrero Rocher,Weekly,1424.0,Local Shop,New Year,Excited,5
CUST0004,53,Male,South India,Cadbury Dairy Milk,Weekly,1407.0,Online,New Year,Excited,2
CUST0005,46,Other,West India,Nestle Kitkat,Occasionally,1895.0,Retail Store,Birthday,Relaxed,3
CUST0006,58,Other,South India,Nestle Kitkat,Monthly,608.0,Retail Store,Birthday,Excited,2
CUST0007,60,Male,South India,Nestle Kitkat,Monthly,319.0,Supermarket,No Occasion,Relaxed,5
CUST0008,45,Female,North India,Amul Dark,Monthly,1896.0,Retail Store,Holi,Sad,5
CUST0009,46,Male,South India,Munch,Occasionally,1486.0,Local Shop,Birthday,Excited,3
CUST0010,51,Female,South India,Nestle Kitkat,Occasionally,992.0,Local Shop,New Year,Bored,5
CUST0011,22,Other,South India,Munch,Occasionally,1648.0,Retail Store,Valentine'S Day,Stressed,5
CUST0012,32,Female,West India,5 Star,Weekly,1092.0,Supermarket,Diwali,Relaxed,3
CUST0013,13,Other,South India,Ferrero Rocher,Weekly,1420.0,Retail Store,Birthday,Happy,4
CUST0014,25,Male,East India,Amul Dark,Occasionally,1978.0,Retail Store,Birthday,Happy,2
CUST0015,13,Male,South India,Cadbury Dairy Milk,Monthly,1686.0,Supermarket,Diwali,Sad,4
CUST0016,17,Other,North India,5 Star,Weekly,86.0,Local Shop,Holi,Bored,4
CUST0017,28,Other,South India,Amul Dark,Monthly,1692.0,Online,Birthday,Stressed,2
CUST0018,27,Other,South India,Munch,Occasionally,141.0,Retail Store,Birthday,Happy,4
CUST0019,40,Male,West India,Amul Dark,Monthly,1893.0,Local Shop,Diwali,Stressed,3
CUST0020,43,Male,East India,5 Star,Monthly,234.0,Retail Store,Raksha Bandhan,Relaxed,2
CUST0021,35,Female,South India,5 Star,Occasionally,777.0,Online,No Occasion,Stressed,1
CUST0022,60,Other,East India,Nestle Kitkat,Monthly,1101.0,Supermarket,New Year,Happy,4
CUST0023,57,Female,North India,Nestle Kitkat,Weekly,1621.0,Local Shop,No Occasion,Excited,5
CUST0024,55,Male,West India,Nestle Kitkat,Occasionally,421.0,Online,No Occasion,Happy,2
CUST0025,29,Female,East India,Ferrero Rocher,Occasionally,881.0,Retail Store,Birthday,Relaxed,1
CUST0026,46,Female,West India,Cadbury Dairy Milk,Occasionally,1603.0,Online,Valentine'S Day,Excited,5
CUST0027,25,Male,South India,Toblerone,Monthly,394.0,Local Shop,No Occasion,Stressed,1
CUST0028,26,Male,North India,Ferrero Rocher,Weekly,1492.0,Supermarket,No Occasion,Sad,4
CUST0029,23,Other,West India,Munch,Occasionally,1269.0,Retail Store,New Year,Sad,5
CUST0030,40,Female,South India,5 Star,Weekly,127.0,Supermarket,Holi,Sad,4
CUST0031,54,Male,East India,Amul Dark,Occasionally,216.0,Supermarket,Holi,Relaxed,5
CUST0032,44,Male,North India,Munch,Occasionally,1163.0,Online,Birthday,Stressed,2
CUST0033,47,Female,North India,Ferrero Rocher,Monthly,313.0,Online,Birthday,Excited,3
CUST0034,43,Male,East India,Toblerone,Occasionally,1545.0,Local Shop,Holi,Excited,3
CUST0035,29,Other,East India,Nestle Kitkat,Occasionally,1281.0,Local Shop,New Year,Stressed,1
CUST0036,59,Other,North India,Nestle Kitkat,Weekly,773.0,Supermarket,Diwali,Happy,5
CUST0037,21,Female,West India,Nestle Kitkat,Monthly,1344.0,Local Shop,Valentine'S Day,Happy,4
CUST0038,22,Other,North India,Ferrero Rocher,Weekly,1336.0,Supermarket,Diwali,Happy,2
CUST0039,20,Male,East India,Amul Dark,Monthly,1579.0,Retail Store,Raksha Bandhan,Relaxed,2
CUST0040,33,Male,West India,Ferrero Rocher,Weekly,1858.0,Supermarket,No Occasion,Happy,2
CUST0041,25,Male,South India,Nestle Kitkat,Monthly,561.0,Local Shop,Diwali,Stressed,3
CUST0042,17,Male,North India,Munch,Occasionally,1927.0,Local Shop,Raksha Bandhan,Excited,4
CUST0043,18,Female,East India,Amul Dark,Occasionally,1799.0,Supermarket,Valentine'S Day,Stressed,2
CUST0044,42,Other,South India,Nestle Kitkat,Monthly,1959.0,Online,New Year,Excited,2
